,abstract,plain language summary
0,"Aberrant CpG methylation universal epigenetic trait cancer cell genomes . , human cancer samples cell lines preclude investigation epigenetic changes occurring early tumour development . , MeDIP - seq analyse DNA methylome APCMin adenoma model intestinal cancer initiation , present list 13,000 recurring differentially methylated regions ( DMRs ) characterizing intestinal adenoma mouse . Polycomb Repressive Complex ( PRC ) targets strongly enriched hypermethylated DMRs , PRC2 components DNA methyltransferases - regulated adenoma . demonstrate bisulfite pyrosequencing purified cell populations DMR signature arises de novo adenoma cells expansion pre - existing pattern intestinal stem cells undifferentiated crypt cells . found epigenetic silencing tumour suppressors , occurs frequently colon cancer , rare adenoma . strikingly , identified core set DMRs , conserved mouse adenoma human colon cancer , possibly revealing global panel epigenetically modified genes intestinal tumours . data allow distinction early conserved epigenetic alterations occurring intestinal adenoma late stochastic events promoting colon cancer progression , facilitate selection specific clinical epigenetic biomarkers .","The formation and progression of tumours to metastatic disease is driven by two major mechanisms, i.e. genetic alterations that activate oncogenes or inactivate tumour suppressor genes, and changes in the epigenome that cause variations in the expression of the genetic information. A deeper understanding of the interaction between the genetic and epigenetic mechanisms is critical for the selection of tumour biomarkers and for the future development of therapies. Human tumour specimens and cell lines contain a plethora of genetic and epigenetic changes, which complicate data analysis. In contrast, mouse tumour models such as the APCMin mouse used in this study arise by a single initiating genetic mutation, yet share key traits with human cancer. Here we show that mouse adenomas acquire a multitude of epigenetic alterations, which are recurring in mouse adenoma and in human colon cancer, representing early and advanced tumours, respectively. The use of a mouse model thus allowed us to uncover a sequence of epigenetic changes occurring in tumours, which may facilitate the identification of novel clinical colon cancer biomarkers."
1,"Trypanosoma cruzi strains currently classified discrete typing units ( DTUs ) named TcI VI . known DTUs different geographical distribution , biological features . TcI TcII major DTUs found patients northern southern Latin America , respectively . hypothesis infection human peripheral blood cells , Y strain ( Tc II ) Col cl1.7 ( Tc ) , cause distinct immunological changes , influence clinical course Chagas disease . evaluated infectivity CFSE - stained trypomastigotes Col cl1.7 Y strain human monocytes 15 72 hours , determined immunological profile lymphocytes monocytes exposed different isolates multiparameter flow cytometry . results showed similar percentage intensity monocyte infection Y Col cl1.7 . observed increased expression CD80 CD86 monocytes infected Col cl1.7 , Y strain . IL-10 significantly higher monocytes infected Col cl1.7 , compared Y strain . , infection Col cl1.7 , Y strain , led increased expression IL-17 CD8 + T cells . hand , observed positive correlation expression TNF - alpha granzyme infection Y strain . study shows Col cl1.7 induces higher monocyte activation , time , production IL-10 , infection Y strain leads lower monocyte activation higher inflammatory profile . results TcI TcII distinct immunological impact human cells early infection , influence disease progression .","Chagas disease remains a major public health problem in Latin America with over 13 million people infected. It is believed that the host immune response and genetic diversity of the parasite play an important role in the progression of Chagas disease, which presents a variety of clinical forms ranging from indeterminate to cardiac and digestive forms. Since parasite genetic diversity may influence the development of Chagas disease, our study aims to understand the immune response of human peripheral blood cells upon infection with two T. cruzi strains with different genetic backgrounds (Col cl1.7 – Tc I, and Y strain – TcII). Our study showed differences in the expression of cytokines and activation molecules between cells infected with strains from Tc I (Col cl1.7) and Tc II (Y strain). These data show the importance of parasite strain in the development of the host response early in infection, which may influence the clinical progression of Chagas disease."
2,"DNA polymerase ν ( pol ν ) , encoded POLN gene , - family DNA polymerase vertebrates animal lineages . report - depth analysis pol ν – defective mice human cells . POLN weakly expressed tissues , highest relative expression testis . constructed multiple mouse models Poln disruption detected anatomic abnormalities , alterations lifespan , changed causes mortality . Mice inactive Poln fertile normal testis morphology . , pol ν – disrupted mice modestly reduced crossover frequency meiotic recombination hot spot harboring insertion / deletion polymorphisms . polymorphisms suggested generate looped - primer hairpin structure recombination , substrates pol ν operate . Pol ν - defective mice alteration DNA end - joining immunoglobulin class - switching , contrast animals defective related DNA polymerase θ ( pol θ ) . examined response DNA crosslinking agents , purified pol ν ability bypass major groove peptide adducts residues DNA crosslink repair . Inactivation Poln mouse embryonic fibroblasts alter cellular sensitivity mitomycin C , cisplatin , aldehydes . Depletion POLN human cells shRNA siRNA change cellular sensitivity mitomycin C alter frequency mitomycin C - induced radial chromosomes . results suggest function pol ν meiotic homologous recombination processing specific substrates . restricted recent evolutionary appearance pol ν ( comparison pol θ ) supports specialized role .","The work described here fills a current gap in the study of the 16 known DNA polymerases in vertebrate genomes. Until now, experiments with genetically disrupted mice have been reported for all but pol ν, encoded by the POLN gene. To intensively analyze the role of mammalian pol ν we generated multiple Poln-deficient murine models. We discovered that Poln is uniquely upregulated during testicular development and that it is enriched in spermatocytes. This, and phylogenetic analysis indicate a testis-specific function. We observed a modest reduction in meiotic recombination at a recombination hotspot in Poln-deficient mice. Pol ν has been suggested to function in DNA crosslink repair. However, we found no increased DNA crosslink sensitivity in Poln-deficient mice or POLN-depleted human cells. This is a major difference from some previous findings, and we support our conclusion by multiple experimental approaches, and by the very low or absent expression of functional pol ν in mammalian somatic cells. The present work represents the first description and comprehensive analysis of mice deficient in pol ν, and the first thorough phenotypic analysis in human cells."
3,"Dengue virus mosquito - transmitted virus cause self - limiting dengue fever , severe life - threatening dengue hemorrhagic fever dengue shock syndrome . existence serotypes dengue virus complicated development effective safe dengue vaccine . Recently , clinical phase 2b trial Sanofi Pasteur CYD tetravalent dengue vaccine revealed vaccine confer protection dengue-2 virus . New approaches dengue vaccine development urgently needed . approach represents promising method dengue vaccine development complement deficiencies CYD tetravalent dengue vaccine . important components vaccine , immunogen immunopotentiator , combined single construct generate new generation vaccines . selected dengue-2 envelope protein domain III ( D2ED III ) immunogen expressed protein lipidated form Escherichia coli , yielding immunogen intrinsic immunopotentiation activity . formulation containing lipidated D2ED III ( LD2ED III ) absence exogenous adjuvant elicited higher D2ED III - specific antibody responses obtained nonlipidated counterpart , D2ED III , dengue-2 virus . addition , avidity neutralizing capacity antibodies induced LD2ED III higher elicited D2ED III dengue-2 virus . Importantly , showed lipidation , subunit candidate LD2ED III exhibited increased immunogenicity reducing potential risk antibody - dependent enhancement infection mice . study suggests lipidated subunit vaccine approach applied serotypes dengue virus pathogens .","Vaccines are considered a cost-effective way to control infectious diseases. To rationally design vaccines, antigens and, frequently, adjuvants must be selected to trigger appropriate immune responses against a specific pathogen. We selected dengue-2 envelope protein domain III as a dengue vaccine candidate and expressed this candidate in the lipidated form in an Escherichia coli-based system. Dengue envelope protein domain III mediates binding of the dengue virus to the host cellular receptor. The lipid moiety of the bacterial-derived lipoprotein can activate the innate immune system to elicit an appropriate adaptive immune response. We demonstrated that lipidated dengue-2 envelope protein domain III is more immunogenic than nonlipidated dengue-2 envelope protein domain III. Most importantly, the lipidated dengue-2 envelope protein domain III alone triggered a durable neutralizing antibody response with a low risk of severe side effects. Lipidated subunit vaccines are non-replicating and thus may be less susceptible to replication interference than live attenuated vaccines. Our study suggests that the lipidated subunit vaccine approach could be applied to other serotypes of dengue virus as well as other pathogens."
4,"Cells reliably sense environmental changes despite internal external fluctuations , mechanisms underlying robustness remain unclear . analyzed fluctuations signaling protein concentrations rise cell - - cell variability protein kinase signaling analytical theory numerical simulations . characterized dose - response behavior signaling cascades calculating stimulus level pathway responds ( ‘ pathway sensitivity ’ ) maximal activation level strong stimulation . Minimal kinase cascades gradual dose - response behavior strong variability , pathway sensitivity maximal activation level simultaneously invariant . Negative feedback regulation resolves trade - coordinately reduces fluctuations pathway sensitivity maximal activation . Feedbacks acting different levels cascade control different aspects dose - response curve , synergistically reducing variability . investigated complex , ultrasensitive signaling cascades capable switch - like decision making , found inherently robust protein concentration fluctuations . describe cell - - cell variability ultrasensitive signaling systems actively regulated , e.g. , altering expression phosphatase(s ) feedback / feedforward loops . calculations reveal slow transcriptional negative feedback loops allow variability suppression maintaining switch - like decision making . Taken , describe design principles signaling cascades promote robustness . results explain certain signaling cascades like yeast pheromone pathway switch - like decision making little cell - - cell variability .","Cells sense their surroundings and respond to soluble factors in the extracellular space. Extracellular factors frequently induce heterogeneous responses, thereby restricting the biological outcome to a fraction of the cell population. However, the question arises how such cell-to-cell variability can be controlled, because some cellular systems show a very homogenous response at a defined level of an extracellular stimulus. We derived an analytical framework to systematically characterize the cell-to-cell variability of intracellular signaling pathways which transduce external signals. We analyzed how heterogeneity arises from fluctuations in the total concentrations of signaling proteins because this is the main source of variability in eukaryotic systems. We find that signaling pathways can be highly variable or inherently invariant, depending on the kinetic parameters and the structural features of the cascade. Our results indicate that the cell-to-cell variability can be reduced by negative feedback in the cascade or by signaling crosstalk between parallel pathways. We precisely define the role of negative feedback loops in variability suppression, and show that different aspects of the dose-response curve can be controlled, depending on the feedback kinetics and site of action in the cascade. This work constitutes a first step towards a systematic understanding of cell-to-cell variability in signal transduction."
5,"Experimental visceral leishmaniasis ( VL ) represents exquisite model study CD8 + T cell responses context chronic inflammation antigen persistence , characterized chronic infection spleen CD8 + T cells required development protective immunity . , antigen - specific CD8 + T cell responses VL far studied , absence defined Leishmania - specific CD8 + T cell epitopes . study , transgenic Leishmania donovani parasites expressing ovalbumin characterize development , function , fate Leishmania - specific CD8 + T cell responses . L. donovani parasites evade CD8 + T cell responses limiting expansion inducing functional exhaustion cell death . Dysfunctional CD8 + T cells partially rescued vivo B7 - H1 blockade , increased CD8 + T cell survival failed restore cytokine production . , B7 - H1 blockade significantly reduced splenic parasite burden . findings exploited design new strategies immunotherapeutic interventions VL .","The protozoan parasite Leishmania donovani is the cause of visceral leishmaniasis, a chronic disease that currently affects 12 million people worldwide. We are interested in understanding the immune mechanisms that can control infection. Preliminary studies suggested that CD8+ T cells can kill parasites and limit disease; however, studying these important killer cells has been hindered, because we do not know what parasite molecules they recognize. To overcome this, we engineered parasites to express ovalbumin. Since many tools exist to track and measure immune cells targeted at ovalbumin, we can now track the specific CD8+ T cell responses that develop upon infection with Leishmania. We found that Leishmania initially induced CD8+ T cells to divide and produce molecules such as IFN-gamma that may help them to kill parasites. However, the CD8+ T cells rapidly lost their effector function and died off as infection progressed. More encouragingly, though, we were able to recover some CD8+ T cell function by blocking immune inhibitory molecules that are induced by parasite infection. The recovered T cells killed parasites and controlled infection. These results are important as they could be exploited for the design of new therapeutic vaccine strategies aimed at inducing protective CD8+ T cells."
6,"molecular dynamics simulations , prion protein ( PrP ) exhibits dual behavior , possible transition routes , protonation H187 pH 4.5 , mimics specific conditions encountered endosomes . results suggest picture protonated imidazole ring H187 experiences electrostatic repulsion nearby guanidinium group R136 , system responds pushing H187 R136 sidechains away native cavities . regions H187 R136 linked , C - terminal H2 loop connecting S1 H1 , respectively , affected different manner depending pathway taken . Specific vivo vitro conditions , presence molecular chaperones particular experimental setup , favor transition pathway , result different   monomers . possible connections observation fibril morphologies outcome prion strains . addition , finding interaction H187 R136 weak point mammalian PrP supported absence   residue pair non - mammalian species known resistant prion diseases .","Transmissible spongiform encephalopathies, which include the “mad cow” disease and the Creutzfeldt-Jakob disease, are related to the abnormal folding of a host protein termed the prion protein (PrP). Many aspects of the underlying molecular mechanism still remain elusive. Among the hypotheses that have been put forward in the past few years, it has been suggested that PrP could be destabilized by the protonation of a specific residue, H187, when the protein passes through acidic cell organelles. We have modeled PrP at the atomistic level, with the neutral and protonated forms of H187. Our simulations show that the destabilization process can follow two alternative pathways that could lead to different final structures. This discovery may shed some light on one of the most puzzling aspect of prion diseases, the fact that they exhibit various strains encoded in the structure of misfolded PrP. In addition, the atomistic details provided by our model highlight a key interactions partner in the destabilization process, R136. The  residue pair is not present in non-mammalian species that do not develop prion diseases."
7,"Trachomatous trichiasis ( TT ) needs managed reduce risk vision loss . long - term impact epilation ( common traditional practice repeated plucking lashes touching eye ) preventing visual impairment corneal opacity TT unknown . conducted randomized controlled trial epilation versus surgery management minor TT ( fewer lashes touching eye ) Ethiopia . report - year outcome effect vision corneal opacity.1300 individuals minor TT recruited randomly assigned quality trichiasis surgery repeated epilation high quality epilation forceps trained person good near vision . Participants examined - monthly - years , - years randomisation . - years epilation arm participants offered free surgery . - years 1151 ( 88.5 % ) - examined : 572 ( 88 % ) 579 ( 89 % ) epilation surgery arms , respectively . time , 21.1 % surgery arm participants recurrent TT ; 189/572 ( 33 % ) epilation arm received surgery , 383 ( 67 % ) declined surgery continued epilating ( “ epilation - ” ) . epilation - group , 207 ( 54.1 % ) fully controlled TT , 166 ( 43.3 % ) minor TT 10 ( 2.6 % ) major TT ( & gt;5 lashes ) . differences participants epilation - , epilation - - surgery surgery arm participants changes visual acuity corneal opacity baseline - years . minor TT participants randomised epilation arm continued epilating controlled TT . Change vision corneal opacity comparable surgery epilation - participants . suggests good quality epilation regular follow - reasonable second - line alternative surgery minor TT individuals decline surgery immediate access surgical treatment .","Trachoma causes visual impairment through the effect of in-turned eyelashes (trichiasis) on the surface of the eye. Epilation is a common traditional practice of intermittent plucking of lashes touching the eye, however, its long-term effectiveness in preventing visual impairment is unknown. We conducted a randomized controlled trial of epilation versus eyelid surgery (the main treatment option) in 1300 people with mild trichiasis in Ethiopia. We defined mild trichiasis as fewer than six lashes touching the eye. We have previously reported results to two years and have now re-assessed these individuals at four years. Overall, we found no difference between the epilation and surgery groups in terms of change in vision and corneal opacity between baseline and four years. Most mild trichiasis participants randomised to the epilation arm continued epilating and controlled their trichiasis. This suggests that good quality epilation is a reasonable second-line alternative to surgery for mild trichiasis for individuals who either decline surgery or do not have immediate access to surgical treatment."
8,"Macrophages ( MØ ) mononuclear phagocytes major targets infection dengue virus ( DV ) , mosquito - borne flavivirus cause haemorrhagic fever humans . knowledge , time MØ mannose receptor ( MR ) binds serotypes DV specifically envelope glycoprotein . Glycan analysis , ELISA , blot overlay assays demonstrate MR binds carbohydrate recognition domains mosquito human cell – produced DV antigen . binding abrogated deglycosylation DV envelope glycoprotein . Surface expression recombinant MR NIH3T3 cells confers DV binding . Furthermore , DV infection primary human MØ blocked anti - MR antibodies . MR prototypic marker alternatively activated MØ , pre - treatment human monocytes MØ type 2 cytokines ( IL-4 IL-13 ) enhances susceptibility productive DV infection . findings indicate new functional role MR DV infection .","Dengue disease and its severe manifestations are a growing public health concern, with a third to half the world's population living in dengue-endemic areas. In recent years there have been significant advances in understanding dengue virus (DV) interactions with target cells such as macrophages, dendritic cells, hepatocytes, and endothelial cells. Interaction with and infection of these cells leads to the production of new virions as well as immune mediators, which can shape the course of the subsequent immune response. The vascular leakage associated with dengue haemorrhagic fever is believed to be immune mediated. Our work on the interaction of DV with human macrophages has led to two major findings; first, we have identified that the macrophage mannose receptor is important for mediating the infection of human macrophages by DV, and second, that the type 2 cytokines IL-4 and IL-13 enhance macrophage susceptibility to DV infection. DV–receptor interactions are of critical importance for understanding not only the mechanisms of entry, but also the biology of infection and the pathogenesis. Understanding the immunopathogenesis of dengue disease is crucial to the development of both a safe dengue vaccine and therapeutic inhibitors of early DV replication."
9,"recent years , computational simulations spontaneous neural dynamics . , describe simple model spontaneous neural dynamics controls agent moving simple virtual environment . dynamics generate interesting brain - environment feedback interactions rapidly destabilize neural behavioral dynamics demonstrating need homeostatic mechanisms . investigate roles homeostatic plasticity locally ( local inhibition adjusting balance excitatory input ) globally ( regional “ task negative ” activity compensates “ task positive ” , sensory input region ) balancing neural activity leading stable behavior ( trajectories environment ) . results suggest complementary functional roles local macroscale mechanisms maintaining neural behavioral dynamics novel functional role macroscopic “ task - negative ” patterns activity ( e.g. , default mode network ) .","In recent years, there has been growing interest in using computational models based on the human structural connectome to better understand the brain. These simulations typically investigate spontaneous neural dynamics, in the absence of tasks, sensory input or motor output. Here, we take a different approach, embodying a computational model of spontaneous neural dynamics to control a simulated agent, with sensory input from and motor output to a simulated environment. Embodying the model radically changes how the model operates and changes how we understand the computational mechanisms. We observe interesting brain-environment feedback interactions and observe how different homeostatic systems are needed to compensate for this feedback. We observe this both in the simulated neural dynamics and the behavior of the embodied agent. These findings suggest novel functional roles for homeostatic systems in maintaining neural dynamics and behavior and for the poorly understood default mode network pattern of activity reported in functional neuroimaging in humans and animals."
